,Phase,FLDNAME,TBLNAME,CRFNAME,TEXT,TYPE,LENGTH,CODE,UNITS,target,OMOP
172,J-ADNI,COINSTRC,ADAS,ADAS-Cognitive Behavior,Check level of impairment.  Base your answer only on observations made during Word Recognition task (Question #8).,N,1,1=None; 2=Very mild: forgets once; 3=Mild: must be reminded two times; 4=Moderate: must be reminded 3-4 times; 5=Moderately severe: must be reminded 5-6 times; 6=Severe: must be reminded 7 or more times.,,No suitable variable found.,
173,J-ADNI,COLANG,ADAS,ADAS-Cognitive Behavior,Check level of impairment.,N,1,"1=None: participant speaks clearly and/or is understandable; 2=Very mild: one instance of lack of understandability; 3=Mild: participant has difficulty <25% of the time; 4=Moderate: participant has difficulty 25-50% of the time; 5=Moderately Severe: participant has difficulty more than 50% of the time; 6=Severe: one- or two-word utterances, fluent but empty speech, mute",,No suitable variable found.,
174,J-ADNI,CONAME,ADAS,ADAS-Cognitive Behavior,Check each object and finger named correctly.,T,45,1=Flower; 2=Bed; 3=Whistle; 4=Pencil; 5=Rattle; 6=Mask; 7=Scissors; 8=Comb; 9=Wallet; 10=Harmonica; 11=Stethoscope; 12=Tongs; 13=Thumb; 14=Middle; 15=Ring; 16=Index; 17=Pinky; 18=None completed correctly,,No suitable variable found.,
175,J-ADNI,CONMCXLA,ADAS,ADAS-Cognitive Behavior,14a. Number of targets hit (range = 0-49),N,2,0..49,,No suitable variable found.,
176,J-ADNI,CONMCXLB,ADAS,ADAS-Cognitive Behavior,14b. Number of errors,N,2,0..99,,No suitable variable found.,
177,J-ADNI,CONMCXLC,ADAS,ADAS-Cognitive Behavior,14c. Number of times reminded of task,N,2,0..99,,No suitable variable found.,
178,J-ADNI,COORIEN,ADAS,ADAS-Cognitive Behavior,Check each item answered correctly.,T,20,1=Full name; 2=Month; 3=Date; 4=Year; 5=Day; 6=Season; 7=Place; 8=Time of day; 9=None completed correctly,,boston naming test (bnt),37396710.0
179,J-ADNI,COP14CMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons,,No suitable variable found.,
180,J-ADNI,COP1COMP,ADAS,ADAS-Cognitive Behavior,"If any trial not administered, check one:",N,1,"1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable to complete 3 trials for cognitive reasons (NOTE: A score of '0' should be given in each of Trials 1, 2, and 3 if the task was administered and the participant was unable to complete the task for cognitive reasons.)",,No suitable variable found.,
181,J-ADNI,COP2COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons;4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.),,No suitable variable found.,
182,J-ADNI,COP3COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.),,patient qualification,
183,J-ADNI,COP4COMP,ADAS,ADAS-Cognitive Behavior,"If task not completed, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: A score of '0' should be given if the participant was unable to complete the task for cognitive reasons.),,patient qualification,
184,J-ADNI,COP5COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.),,patient qualification,
185,J-ADNI,COP6COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 3=Participant unable for physical reasons; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.),,patient qualification,
186,J-ADNI,COP7COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons (NOTE: This should only be checked if the task was not administered due to cognitive reasons.),,patient qualification,
187,J-ADNI,COP8COMP,ADAS,ADAS-Cognitive Behavior,"If task not administered, check one:",N,1,1=Not done (for reasons other than physical/cognitive); 2=Participant refused; 4=Participant unable for cognitive reasons,,patient qualification,
188,J-ADNI,COPYCIRC,NEUROBAT,Neuropsychological Battery,1. Approximately circular face,N,1,1=Yes;0=No,,No suitable variable found.,
189,J-ADNI,COPYHAND,NEUROBAT,Neuropsychological Battery,4. Presence of the two hands,N,1,1=Yes;0=No,,No suitable variable found.,
190,J-ADNI,COPYNUM,NEUROBAT,Neuropsychological Battery,3. Correctness of numbers,N,1,1=Yes;0=No,,No suitable variable found.,
191,J-ADNI,COPYSCOR,NEUROBAT,Neuropsychological Battery,Total Score,N,2,0..5,,clock drawing test,
192,J-ADNI,COPYSYM,NEUROBAT,Neuropsychological Battery,2. Symmetry of number placement,N,1,1=Yes;0=No,,clock drawing test,
193,J-ADNI,COPYTIME,NEUROBAT,Neuropsychological Battery,"5. Presence of the two hands, set to ten after eleven",N,1,1=Yes;0=No,,No suitable variable found.,
194,J-ADNI,COT1LIST,ADAS,ADAS-Cognitive Behavior,Trial 1,T,20,1=BUTTER; 2=ARM; 3=SHORE; 4=LETTER; 5=QUEEN; 6=CABIN; 7=POLE; 8=TICKET; 9=GRASS; 10=ENGINE,,No suitable variable found.,
195,J-ADNI,COT1SCOR,ADAS,ADAS-Cognitive Behavior,Total <!--Trial 1-->,N,2,0..10,,No suitable variable found.,
196,J-ADNI,COT2LIST,ADAS,ADAS-Cognitive Behavior,Trial 2,T,20,1=POLE; 2=LETTER; 3=BUTTER; 4=QUEEN; 5=ARM; 6=SHORE; 7=GRASS; 8=CABIN; 9=TICKET; 10=ENGINE,,No suitable variable found.,
197,J-ADNI,COT2SCOR,ADAS,ADAS-Cognitive Behavior,Total <!--Trial 2-->,N,2,0..10,,No suitable variable found.,
198,J-ADNI,COT3LIST,ADAS,ADAS-Cognitive Behavior,Trial 3,T,20,1=SHORE; 2=LETTER; 3=ARM; 4=CABIN; 5=POLE; 6=TICKET; 7=ENGINE; 8=GRASS; 9=BUTTER; 10=QUEEN,,No suitable variable found.,
199,J-ADNI,COT3SCOR,ADAS,ADAS-Cognitive Behavior,Total <!--Trial 1-->,N,2,0..10,,No suitable variable found.,
200,J-ADNI,COT4LIST,ADAS,ADAS-Cognitive Behavior,Check each word correctly recalled.,T,20,1=BUTTER; 2=ARM; 3=SHORE; 4=LETTER; 5=QUEEN; 6=CABIN; 7=POLE; 8=TICKET; 9=GRASS; 10=ENGINE,,No suitable variable found.,
201,J-ADNI,COT4TOTL,ADAS,ADAS-Cognitive Behavior,Total,N,2,0..10,,No suitable variable found.,
202,J-ADNI,COWRDFND,ADAS,ADAS-Cognitive Behavior,Check one response,N,1,"1=None; 2=Very Mild: one or two instances, not clinically significant; 3=Mild: noticeable circumlocution or synonym substitution; 4=Moderate: loss of words without compensation on occasion; 5=Moderately severe: frequent loss of words without compensation; 6=Severe: nearly total loss of content words, speech sounds empty, one-to-two-word utterances",,No suitable variable found.,
203,J-ADNI,DIGITSCOR,NEUROBAT,Neuropsychological Battery,Total Correct,N,3,,,digit span test (backward),4150719.0
204,J-ADNI,DSPANBAC,NEUROBAT,Neuropsychological Battery,Backward: Total Correct,N,2,0..12,,No suitable variable found.,
205,J-ADNI,DSPANBLTH,NEUROBAT,Neuropsychological Battery,Backward: Length,N,1,2..7,,No suitable variable found.,
206,J-ADNI,DSPANFLTH,NEUROBAT,Neuropsychological Battery,Forward: Length,N,1,3..8,,No suitable variable found.,
207,J-ADNI,DSPANFOR,NEUROBAT,Neuropsychological Battery,Forward: Total Correct,N,2,0..12,,digit span test (forward),4150719.0
208,J-ADNI,DXAATYSP,PDXCONV,Diagnostic Summary,Atypical clinical course or features (specify),T,100,,,No suitable variable found.,
209,J-ADNI,DXAD,PDXCONV,Diagnostic Summary,Alzheimer's Disease,T,20,1=Yes,,No suitable variable found.,
210,J-ADNI,DXADES,PDXCONV,Diagnostic Summary,"If Alzheimer's Disease, select box that indicates best description:",N,1,1=Mild; 2=Moderate; 3=Severe,,No suitable variable found.,
211,J-ADNI,DXAMETASP,PDXCONV,Diagnostic Summary,Metabolic/Toxic Disorder (specify),T,100,,,No suitable variable found.,
212,J-ADNI,DXAMETSP,PDXCONV,Diagnostic Summary,Metabolic / Toxic Disorder (specify),T,100,,,No suitable variable found.,
213,J-ADNI,DXAOTHRSP,PDXCONV,Diagnostic Summary,Other (specify),T,100,,,No suitable variable found.,
214,J-ADNI,DXAOTHSP,PDXCONV,Diagnostic Summary,Other (specify),T,100,,,No suitable variable found.,
215,J-ADNI,DXAPOSS,PDXCONV,Diagnostic Summary,"If Possible AD, select box(es) to indicate reason:",T,25,1=Atypical clinical course or features (specify); 2=Stroke(s); 3=Depression; 4=Delirium; 5=Parkinsonism; 6=Metabolic / Toxic Disorder (specify); 7=Other (specify),,No suitable variable found.,
216,J-ADNI,DXAPP,PDXCONV,Diagnostic Summary,If Alzheimer's Disease,N,1,1=Probable; 2=Possible,,No suitable variable found.,
217,J-ADNI,DXAPROB,PDXCONV,Diagnostic Summary,"If Probable AD, select box(es) for other symptoms present:",T,25,1=None;2=Stroke(s);3=Depression;4=Delirium;5=Parkinsonism;6=Metabolic/Toxic Disorder (specify);7=Other (specify),,diagnosis,4234469.0
218,J-ADNI,DXCONFID,PDXCONV,Diagnostic Summary,Physician Confidence in Diagnosis:,N,1,1=Uncertain; 2=Mildly Confident; 3=Moderately Confident; 4=Highly Confident,,diagnosis,4234469.0
219,J-ADNI,DXCONTYP,PDXCONV,Diagnostic Summary,"If YES - CONVERSION, choose type",N,1,1=Normal Control to MCI; 2=Normal Control to AD; 3=MCI to AD,,No suitable variable found.,
220,J-ADNI,DXCONV,PDXCONV,Diagnostic Summary,2. Has there been a conversion or reversion to NL/MCI?,N,1,1=Yes - Conversion;2=Yes - Reversion; 0=No,,No suitable variable found.,
221,J-ADNI,DXCURREN,PDXCONV,Diagnostic Summary,1. Current Diagnosis,N,1,1=NL;2=MCI;3=AD,,No suitable variable found.,
222,J-ADNI,DXMCI,PDXCONV,Diagnostic Summary,Mild Cognitive Impairment,T,20,1=Yes,,No suitable variable found.,
223,J-ADNI,DXMDES,PDXCONV,Diagnostic Summary,"If Mild Cognitive Impairment, select any that apply:",T,20,1=MCI (Memory features); 2=MCI (Non-memory features),,No suitable variable found.,
224,J-ADNI,DXMDUE,PDXCONV,Diagnostic Summary,If MCI,N,1,1=MCI due to Alzheimer's Disease; 2=MCI due to other etiology,,No suitable variable found.,
225,J-ADNI,DXMOTHET,PDXCONV,Diagnostic Summary,"If MCI due to other etiology, select box(es) to indicate reason:",T,20,1=Frontal Lobe Dementia; 2=Parkinson's Disease; 3=Huntington's Disease; 4=Progressive Supranuclear Palsy; 5=Corticobasal Degeneration; 6=Vascular Dementia; 7=Prion-Associated Dementia; 8=Other (specify),,No suitable variable found.,
226,J-ADNI,DXMOTHSP,PDXCONV,Diagnostic Summary,Other (specify),T,100,,,No suitable variable found.,
227,J-ADNI,DXMPTR1,PDXCONV,Diagnostic Summary,1. Subjective memory complaint,N,1,1=Yes; 0=No,,No suitable variable found.,
228,J-ADNI,DXMPTR2,PDXCONV,Diagnostic Summary,2. Informant memory complaint,N,1,1=Yes; 0=No,,No suitable variable found.,
229,J-ADNI,DXMPTR3,PDXCONV,Diagnostic Summary,3. Normal general cognitive function,N,1,1=Yes; 0=No; 2=Marginal,,No suitable variable found.,
230,J-ADNI,DXMPTR4,PDXCONV,Diagnostic Summary,4. Normal activities of daily living,N,1,1=Yes; 0=No; 2=Marginal,,No suitable variable found.,
231,J-ADNI,DXMPTR5,PDXCONV,Diagnostic Summary,5. Objective memory impairment for age and education,N,1,1=Yes; 0=No,,education,1015298.0
232,J-ADNI,DXMPTR6,PDXCONV,Diagnostic Summary,6. Not demented by diagnostic criteria,N,1,1=Yes;0=No,,No suitable variable found.,
233,J-ADNI,DXNODEP,PDXCONV,Diagnostic Summary,Mild Depression,T,20,1=Yes,,depression,45878997.0
234,J-ADNI,DXNORM,PDXCONV,Diagnostic Summary,Normal,T,20,1=Yes,,No suitable variable found.,
235,J-ADNI,DXODES,PDXCONV,Diagnostic Summary,"If Other Dementia, select box which indicates best diagnosis:",N,2,1=Frontal; 2=Huntington; 3=Alcohol; 4=NPH; 5=Major Depression; 6=Down's Syndrome; 7=Vascular Dementia; 8=Prion; 9=HIV; 10=Primary Progressive Aphasia; 11=Posterior Cortical Dysfunction; 12=Other (specify),,No suitable variable found.,
236,J-ADNI,DXOOTHSP,PDXCONV,Diagnostic Summary,Other (specify),T,100,,,No suitable variable found.,
237,J-ADNI,DXOTHDEM,PDXCONV,Diagnostic Summary,Other Dementia (not Alzheimer's Disease),T,20,1=Yes,,No suitable variable found.,
238,J-ADNI,DXPARK,PDXCONV,Diagnostic Summary,Parkinsonism,T,20,1=Yes,,parkinson’s disease,381270.0
239,J-ADNI,DXPATYP,PDXCONV,Diagnostic Summary,If Atypical Parkinsonism,N,1,1=PSP;2=CBGD;3=OPCA;4=SND;5=Shy Drager;6=Vascular;7=Other (specify),,parkinson’s disease,381270.0
240,J-ADNI,DXPCOG,PDXCONV,Diagnostic Summary,"If Parkinsonism with cognitive impairment, demented",N,1,1=PD;2=PDD;3=DLB;4=PDAD,,No suitable variable found.,
241,J-ADNI,DXPDES,PDXCONV,Diagnostic Summary,"If Parkinsonism, select box which indicates best diagnosis:",N,1,"1=Parkinsonism without cognitive impairment; 2=Parkinsonism with cognitive impairment, not demented; 3=Parkinsonism with cognitive impairment, demented; 4=Atypical Parkinsonism",,No suitable variable found.,
242,J-ADNI,DXPOTHSP,PDXCONV,Diagnostic Summary,Other (specify),T,100,,,No suitable variable found.,
243,J-ADNI,DXREV,PDXCONV,Diagnostic Summary,"If YES - REVERSION, choose type",N,1,1=MCI to Normal Control; 2=AD to MCI; 3=AD to Normal Control,,No suitable variable found.,
244,J-ADNI,ENROLLED,ARM,,Enrollment Status,N,1,null=pending enrollment;1=randomized - assigned a scan category;-1=screen failed;-2=screen failed after randomization,,participant id,46234739.0
245,J-ADNI,ENTRY,NEUROEXM,Neurological Exam,,N,1 digit,,,No suitable variable found.,
246,J-ADNI,ENTRY,MEDHIST,Medical History,,N,1 digit,,,No suitable variable found.,
247,J-ADNI,ENTRY,PTDEMOG,Participant Demographic Information,,N,1 digit,,,No suitable variable found.,
248,J-ADNI,ENTRY,MMSE,Mini Mental State Exam,,N,1 digit,,,No suitable variable found.,
249,J-ADNI,ENTRY,ADAS,ADAS-Cognitive Behavior,,N,1 digit,,,No suitable variable found.,
250,J-ADNI,ENTRY,GDSCALE,Geriatric Depression Scale,,N,1 digit,,,No suitable variable found.,
251,J-ADNI,ENTRY,EXCLUSIO,Exclusion Criteria,,N,1 digit,,,No suitable variable found.,
252,J-ADNI,ENTRY,PDXCONV,Diagnostic Summary,,N,1 digit,,,No suitable variable found.,
253,J-ADNI,ENTRY,TREATDIS,Early Discontinuation and Withdrawal,,N,1 digit,,,No suitable variable found.,
254,J-ADNI,ENTRY,RECFHQ,Family History Questionnaire Subtable,,N,1 digit,,,No suitable variable found.,
255,J-ADNI,ENTRY,INCLUSIO,Inclusion Criteria,,N,1 digit,,,No suitable variable found.,
256,J-ADNI,ENTRY,VITALS,Vital Signs,,N,1 digit,,,No suitable variable found.,
257,J-ADNI,ENTRY,NEUROBAT,Neuropsychological Battery,,N,1 digit,,,No suitable variable found.,
258,J-ADNI,ENTRY,PHYSICAL,Physical Exam,,N,1 digit,,,No suitable variable found.,
259,J-ADNI,ENTRY,FAQ,Functional Assessment Questionnaire,,N,1 digit,,,No suitable variable found.,
260,J-ADNI,ENTRY,FHQ,Family History Questionnaire,,N,1 digit,,,No suitable variable found.,
261,J-ADNI,ENTRY,REGISTRY,Registry,,N,1 digit,,,No suitable variable found.,
262,J-ADNI,ENTRY,MODHACH,Modified Hachinski,,N,1 digit,,,No suitable variable found.,
263,J-ADNI,ENTRY,CDR,Clinical Dementia Rating,,N,1 digit,,,No suitable variable found.,
264,J-ADNI,ENTRY,ADSXLIST,Diagnosis and Symptoms Checklist,,N,1 digit,,,No suitable variable found.,
265,J-ADNI,ENTRY,BLSCHECK,Baseline Symptoms Checklist,,N,1 digit,,,No suitable variable found.,
266,J-ADNI,ENTRY,ADASSCORES,ADAS Sub-Scores and Total Scores,,N,1 digit,,,No suitable variable found.,
267,J-ADNI,ENTRY,BLCHANGE,Diagnostic Summary - Baseline Changes,,N,1 digit,,,No suitable variable found.,
268,J-ADNI,ENTRY,NPIQ,Neuropsychiatric Inventory Q,,N,1 digit,,,No suitable variable found.,
269,J-ADNI,EXABUSE,EXCLUSIO,Exclusion Criteria,5. Does the participant have a history of alcohol or substance abuse or dependence within the past 2 years (DSM IV criteria)?,N,1,1=Yes; 0=No,,alcohol abuse,433753.0
270,J-ADNI,EXAMDATE,PDXCONV,Diagnostic Summary,Date Form Completed,D,10,,,patient qualification,
271,J-ADNI,EXAMDATE,ADSXLIST,Diagnosis and Symptoms Checklist,Examination Date,D,10,,,visit,
272,J-ADNI,EXAMDATE,MEDHIST,Medical History,Examination Date,D,10,,,visit,
273,J-ADNI,EXAMDATE,NPIQ,Neuropsychiatric Inventory Q,Examination Date,D,10,,,visit,
274,J-ADNI,EXAMDATE,ADASSCORES,ADAS Sub-Scores and Total Scores,,D,10,,,diagnosis,4234469.0
275,J-ADNI,EXAMDATE,INCLUSIO,Inclusion Criteria,Date Criteria Confirmed,D,10,,,No suitable variable found.,
276,J-ADNI,EXAMDATE,GDSCALE,Geriatric Depression Scale,Examination Date,D,10,,,visit,
277,J-ADNI,EXAMDATE,RECFHQ,Family History Questionnaire Subtable,Examination Date,D,10,,,visit,
278,J-ADNI,EXAMDATE,PTDEMOG,Participant Demographic Information,Examination Date,D,10,,,visit,
279,J-ADNI,EXAMDATE,FHQ,Family History Questionnaire,Examination Date,D,10,,,visit,
280,J-ADNI,EXAMDATE,REGISTRY,Registry,Examination Date,D,10,,,visit,
281,J-ADNI,EXAMDATE,FAQ,Functional Assessment Questionnaire,Examination Date,D,10,,,visit,
282,J-ADNI,EXAMDATE,NEUROEXM,Neurological Exam,Examination Date,D,10,,,visit,
283,J-ADNI,EXAMDATE,EXCLUSIO,Exclusion Criteria,Date Criteria Confirmed,D,10,,,No suitable variable found.,
284,J-ADNI,EXAMDATE,BLCHANGE,Diagnostic Summary - Baseline Changes,Form Completed,D,10,,,patient qualification,
285,J-ADNI,EXAMDATE,ADAS,ADAS-Cognitive Behavior,Examination Date,D,10,,,visit,
286,J-ADNI,EXAMDATE,MMSE,Mini Mental State Exam,Examination Date,D,10,,,visit,
287,J-ADNI,EXAMDATE,BLSCHECK,Baseline Symptoms Checklist,Examination Date,D,10,,,visit,
288,J-ADNI,EXAMDATE,MODHACH,Modified Hachinski,Examination Date,D,10,,,visit,
289,J-ADNI,EXAMDATE,PHYSICAL,Physical Exam,Examination Date,D,10,,,visit,
290,J-ADNI,EXAMDATE,VITALS,Vital Signs,Examination Date,D,10,,,visit,
291,J-ADNI,EXAMDATE,CDR,Clinical Dementia Rating,Examination Date,D,10,,,visit,
292,J-ADNI,EXAMDATE,TREATDIS,Early Discontinuation and Withdrawal,Date of Discontinuation/Withdrawal/Completion of ADNI 1,D,10,,,No suitable variable found.,
293,J-ADNI,EXAMDATE,NEUROBAT,Neuropsychological Battery,Examination Date,D,10,,,visit,
294,J-ADNI,EXAMINIT,NEUROEXM,Neurological Exam,Examiner Initials,T,3,,,participant id,46234739.0
295,J-ADNI,EXAMINIT,BLSCHECK,Baseline Symptoms Checklist,Examiner Initials,T,3,,,participant id,46234739.0
296,J-ADNI,EXAMINIT,MODHACH,Modified Hachinski,Examiner Initials,T,3,,,participant id,46234739.0
297,J-ADNI,EXAMINIT,NPIQ,Neuropsychiatric Inventory Q,Examiner Initials,T,3,,,participant id,46234739.0
298,J-ADNI,EXAMINIT,FAQ,Functional Assessment Questionnaire,Examiner Initials,T,3,,,participant id,46234739.0
299,J-ADNI,EXAMINIT,PHYSICAL,Physical Exam,Examiner Initials,T,3,,,participant id,46234739.0
300,J-ADNI,EXAMINIT,MEDHIST,Medical History,Examiner Initials,T,3,,,participant id,46234739.0
301,J-ADNI,EXAMINIT,PDXCONV,Diagnostic Summary,Physician Initials,T,3,,,participant id,46234739.0
302,J-ADNI,EXAMINIT,VITALS,Vital Signs,Examiner Initials,T,3,,,participant id,46234739.0
303,J-ADNI,EXAMINIT,REGISTRY,Registry,Examiner Initials,T,3,,,participant id,46234739.0
304,J-ADNI,EXAMINIT,FHQ,Family History Questionnaire,Examiner initials,T,3,,,participant id,46234739.0
305,J-ADNI,EXAMINIT,ADSXLIST,Diagnosis and Symptoms Checklist,Examiner Initials,T,3,,,participant id,46234739.0
306,J-ADNI,EXAMINIT,CDR,Clinical Dementia Rating,Examiner Initials,T,3,,,participant id,46234739.0
307,J-ADNI,EXAMINIT,NEUROBAT,Neuropsychological Battery,Examiner Initials,T,3,,,participant id,46234739.0
308,J-ADNI,EXAMINIT,TREATDIS,Early Discontinuation and Withdrawal,Examiner Initials,T,3,,,participant id,46234739.0
309,J-ADNI,EXAMINIT,PTDEMOG,Participant Demographic Information,Examiner Initials,T,3,,,participant id,46234739.0
310,J-ADNI,EXAMINIT,RECFHQ,Family History Questionnaire Subtable,Examiner Initials,T,3,,,participant id,46234739.0
311,J-ADNI,EXAMINIT,GDSCALE,Geriatric Depression Scale,Examiner Initials,T,3,,,participant id,46234739.0
312,J-ADNI,EXAMINIT,BLCHANGE,Diagnostic Summary - Baseline Changes,Physician's Initials,T,3,,,participant id,46234739.0
313,J-ADNI,EXAMINIT,INCLUSIO,Inclusion Criteria,Examiner Initials,T,3,,,participant id,46234739.0
314,J-ADNI,EXAMINIT,ADAS,ADAS-Cognitive Behavior,Examiner Initials,T,3,,,participant id,46234739.0
315,J-ADNI,EXAMINIT,EXCLUSIO,Exclusion Criteria,Examiner Initials,T,3,,,participant id,46234739.0
316,J-ADNI,EXAMINIT,MMSE,Mini Mental State Exam,Examiner Initials,T,3,,,participant id,46234739.0
317,J-ADNI,EXILLNESS,EXCLUSIO,Exclusion Criteria,6. Does the participant have a significant systemic illness or unstable medical condition which could lead to difficulty complying with the protocol?,N,1,1=Yes; 0=No,,No suitable variable found.,
318,J-ADNI,EXINVEST,EXCLUSIO,Exclusion Criteria,10. Has the participant used another investigational agent within one month prior to screening?,N,1,1=Yes; 0=No,,participant id,46234739.0
319,J-ADNI,EXLAB,EXCLUSIO,Exclusion Criteria,"7. Does the participant have any clinically significant abnormalities in B12, RPR, or TFTs that might interfere with the study.",N,1,1=Yes; 0=No,,No suitable variable found.,
320,J-ADNI,EXMEDS,EXCLUSIO,Exclusion Criteria,"9. Is the participant currently taking, or has he/she taken in the last 4 weeks, any excluded medication(s) as described in the Procedures Manual?",N,1,1=Yes; 0=No,,No suitable variable found.,
321,J-ADNI,EXMRI,EXCLUSIO,Exclusion Criteria,"3. Does the participant have a pacemaker, aneurysm clips, artificial heart valves, ear implants, metal fragments or foreign objects in the eyes, skin or body.",N,1,1=Yes; 0=No,,heart rate,4239408.0
322,J-ADNI,EXNEURO,EXCLUSIO,Exclusion Criteria,"1. NL - Does the participant have a significant neurologic disease such as Parkinson's disease, multi-infarct dementia, Huntington's disease, normal pressure hydrocephalus, brain tumor, progressive supranuclear palsy, seizure disorder, subdural hematoma, multiple sclerosis, or history of significant head trauma followed by persistent neurologic defaults or known structural brain abnormalities.<br>MCI - Does the participant have a significant neurologic disease other than suspected incipient Alzheimer's disease such as...<br>AD - Does the participant have a significant neurologic disease other than Alzheimer's disease including...",N,1,1=Yes; 0=No,,head injury,
323,J-ADNI,EXNIMAG,EXCLUSIO,Exclusion Criteria,"2. Does the participant's screening/baseline MRI scans have evidence of infection, infarction, or other focal lesions?  Participants with multiple lacunes or lacunes in a critical memory structure are excluded.",N,1,1=Yes; 0=No,,No suitable variable found.,
324,J-ADNI,EXPARTICIP,EXCLUSIO,Exclusion Criteria,11. Is the participant participating in a clinical study involving neuropsychological measures being collected more than one time per year?,N,1,1=Yes; 0=No,,No suitable variable found.,
325,J-ADNI,EXPSYCH,EXCLUSIO,Exclusion Criteria,"4. NL - Has the participant had major depression or bipolar disorder as described in DSM-IV within the past year or a history of schizophrenia (DSM IV criteria)?<br>MCI/AD - Does the participant have a history of major depression...or a history of psychotic features, agitation, or behavioral problems within the last 3 months which could lead to difficulty complying with the protocol?",N,1,1=Yes; 0=No,,bipolar,4128935.0
326,J-ADNI,EXRESID,EXCLUSIO,Exclusion Criteria,8. Does the participant reside in a skilled nursing facility?,N,1,1=Yes; 0=No,,living situation,
327,J-ADNI,FAQBEVG,FAQ,Functional Assessment Questionnaire,"5. Heating water, making a cup of coffee, turing off the stove.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,No suitable variable found.,
328,J-ADNI,FAQEVENT,FAQ,Functional Assessment Questionnaire,7. Keeping track of current events.,N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,functional activities questionnaire (faq),
329,J-ADNI,FAQFINAN,FAQ,Functional Assessment Questionnaire,"1. Writing checks, paying bills, or balancing checkbook.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,functional activities questionnaire (faq),
330,J-ADNI,FAQFORM,FAQ,Functional Assessment Questionnaire,"2. Assembling tax records, business affairs, or other papers.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,functional activities questionnaire (faq),
331,J-ADNI,FAQGAME,FAQ,Functional Assessment Questionnaire,"4. Playing a game of skill such as bridge or chess, working on a hobby.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,No suitable variable found.,
332,J-ADNI,FAQMEAL,FAQ,Functional Assessment Questionnaire,6. Preparing a balanced meal.,N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,functional activities questionnaire (faq),
333,J-ADNI,FAQREM,FAQ,Functional Assessment Questionnaire,"9. Remembering appointments, family occasions, holidays, medications.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,No suitable variable found.,
334,J-ADNI,FAQSHOP,FAQ,Functional Assessment Questionnaire,"3. Shopping alone for clothes, household necessities, or groceries.",N,1,"0=Normal (0);1=Never did, but could do now (0);2=Never did, would have difficulty now (1);3=Has difficulty, but does by self (1);4=Requires assistance (2);5=Dependent (3)",,living situation,
335,J-ADNI,FAQSOURCE,FAQ,Functional Assessment Questionnaire,Information Source,N,1,1=Participant Visit;2=Telephone Call,,functional activities questionnaire (faq),
336,J-ADNI,FAQTOTAL,FAQ,Functional Assessment Questionnaire,Total Score,N,2,0..30,,functional activities questionnaire (faq),
